(  book_no_1, Computer Science,《计算机网络自顶向下方法》, 机械工业出版社, 2018, 詹姆斯, 89.00, 3 )
(  book_no_2, Computer Science, 《深入理解计算机系统》, 机械工业出版社, 2016, 兰德尔, 139.00, 2 )
(  book_no_3, Computer Science, 《图解HTTP》, 人民邮电出版社, 2014, 上野宣, 49.00, 5)
(  book_no_4, 青春小说, 《余生，请多指教》, 百花洲文艺出版社, 2016, 柏林石匠, 32.00, 1 )
(  book_no_5, Computer Science, 《AI传奇，人工智能通俗史》, 机械工业出版社, 2017, 陈宗周, 59.00, 6 )
(  book_no_6, 青春小说, 《致我们单纯的小美好 上+下》, 江苏凤凰文艺出版社, 2015, 赵乾乾, 48.00, 4 )
(  book_no_7, 文学, 《津轻》, 四川文艺出版社, 2017, 太宰治, 39.8, 2 )
(  book_no_8, 外国名著, 《人间失格》, 浙江文艺出版社, 2016, 太宰治, 25.00, 2 )
(  book_no_9, 文学,《追风筝的人》, 上海人民出版社, 2006, 卡勒德, 29.00, 2 )
(  book_no_10, 外国名著, 《老人与海》, 延边人民出版社, 2000, 海明威, 90.00, 2 )
(  book_no_11, Computer Science, 《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
(  book_no_12, Computer Science,《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
(  book_no_13, Computer Science, 《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
(  book_no_14, Computer Science, 《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
(  book_no_15, Computer Science, 《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
(  book_no_16, Computer Science, 《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
(  book_no_17, Computer Science, 《Computer Architecture》, xxx, 2003, xxx, 90.00, 2 )
